"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL17-C18orf32",13.4072932741876,-4.76080311896311,2.31621593172006,-2.05542283591308,0.0398381817028319,0.289617257458683
"AC106820.4",3.01172062609465,-4.42650253165584,1.36886954370981,-3.23369202857671,0.00122201152868517,NA
"DMC1",2.38915497626135,-4.32735249309902,1.36993278496429,-3.15880643239868,0.00158416670161174,NA
"ST7-OT4",1.12711170328585,-4.30462804215739,1.87221546877749,-2.29921615003437,0.0214926683888421,NA
"HLA-DPB1",2.44759180774629,-4.28484124368885,1.43302943840556,-2.99005807477083,0.0027892441097029,NA
"AC018635.1",3.76516818894602,-4.24860002780877,1.57495073543135,-2.69760820591328,0.00698395832592195,NA
"AC010733.2",3.8161384823807,-4.12100748768035,1.95577917885112,-2.10709242241814,0.0351095690464765,NA
"ITGA9",1.3941798357621,-3.94570357162426,1.69522696149446,-2.32753705624518,0.019936699108293,NA
"GLYATL1",2.57277522199795,-3.91855294594528,1.39572759780708,-2.80753418654326,0.00499223806854637,NA
"MYO15A",3.50288037798307,-3.79498714114733,1.37588263656755,-2.75822009834704,0.00581170525198017,NA
"TMEM132B",8.37172438891738,-3.67002948708891,1.26689713918707,-2.89686461005339,0.00376912377572485,0.0620198461570147
"P2RX5-TAX1BP3",3.30536794043111,-3.64802460039544,1.44831336733054,-2.51880890053463,0.0117752545757497,NA
"LINC01151",1.60936426649806,-3.57085378239153,1.66788603044152,-2.14094591429983,0.0322783999086847,NA
"AC090510.1",3.10337850540485,-3.55295151794145,1.61015719451229,-2.20658674199672,0.0273429440492929,NA
"TCAF2P1",1.63240915600935,-3.52576777701441,1.78269146958524,-1.97777789211877,0.0479537685779031,NA
"PPFIA3",5.02693657431119,-3.51540738207078,1.3856451217629,-2.53701855320522,0.0111801028862717,NA
"HPDL",1.4090710985709,-3.51233780415958,1.7871931999448,-1.96528153994098,0.0493816609574372,NA
"AC008982.1",4.56032757857771,-3.50469917038807,1.23170601844525,-2.8454023264512,0.00443553602457891,NA
"AC008982.3",4.56032757857771,-3.50469917038807,1.23170601844525,-2.8454023264512,0.00443553602457891,NA
"STK32A",1.87296294320571,-3.5046897371926,1.68247836498239,-2.08305188948405,0.0372464940274813,NA
"RAB9B",2.34263260911735,-3.49193837893207,1.50129797504972,-2.32594623916442,0.0200214188638233,NA
"FAM186A",2.77323222049396,-3.48140830333523,1.4762071193048,-2.35834677790658,0.0183565360250381,NA
"GDF5",1.57029768772025,-3.47125012508022,1.67768259130561,-2.06907441435558,0.0385391042484515,NA
"AC069544.1",2.84681396504892,-3.46817674707706,1.45782781435085,-2.37900300223137,0.0173595345805595,NA
"PPARGC1B",5.45631172295541,-3.45685577877295,1.3952928091986,-2.47751278870163,0.0132301667382217,NA
"SHISA2",1.54715135760779,-3.45342029596897,1.71664529135854,-2.01172619256478,0.0442488079762815,NA
"PTGER2",8.80535133754817,-3.44261617586835,1.09865041545735,-3.13349553910218,0.00172737544179553,0.0335091312777076
"AC005343.1",1.93824072579953,-3.44128520162292,1.52538656335916,-2.25600859761386,0.0240700926946913,NA
"AC005343.2",1.93824072579953,-3.44128520162292,1.52538656335916,-2.25600859761386,0.0240700926946913,NA
"NFATC2",3.9402734580173,-3.42851098581337,1.35965731483847,-2.5215993385956,0.0116822684910546,NA
"CCNO",1.65977626142981,-3.42467542156418,1.59402588423836,-2.14844404687978,0.031678496846435,NA
"TNFRSF11A",3.1029118041881,-3.29852441907573,1.46445655040052,-2.25238803990026,0.0242977608714746,NA
"PCSK1",5.50728156075947,-3.2782000407152,1.37860686968623,-2.37790780881668,0.0174111783771255,NA
"FAM160A1",15.1765722842059,-3.27106237706261,1.31411924731744,-2.48916708566589,0.0128042774202098,0.143197185677843
"B3GNT4",4.61393789517294,-3.25515259216501,1.41859859301667,-2.2946255608804,0.0217545921162186,NA
"CYP1B1",167.966406337344,-3.21037095487916,0.375944074590658,-8.53949076967029,1.34814629161931e-17,3.70470600936987e-15
"ZNF20",3.78944670907289,-3.15734394845647,1.48149933882345,-2.13118147657352,0.0330741944245535,NA
