"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","20/306","301/18614",1.40389826728309e-07,0.000489679715628343,0.000449543003060544,"1545/1870/9709/23612/1051/9181/5366/468/8795/79156/26471/25946/27113/4193/1649/1026/57761/2810/54541/79094",20
"GO:0036003","GO:0036003","positive regulation of transcription from RNA polymerase II promoter in response to stress","6/306","18/18614",2.95442948916997e-07,0.000515252502911242,0.000473019710845002,"1051/10365/468/7422/467/1649",6
"GO:0070059","GO:0070059","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","9/306","63/18614",8.47086095716934e-07,0.000984878767286888,0.000904152948481022,"9709/1051/5366/468/8795/27113/1649/57761/79094",9
"GO:0072331","GO:0072331","signal transduction by p53 class mediator","13/306","173/18614",5.9513458545481e-06,0.00441110575617198,0.00404954843984644,"5608/1870/144455/23612/1263/5366/26471/25946/4193/27063/1026/83667/54541",13
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","16/306","259/18614",6.48474531164842e-06,0.00441110575617198,0.00404954843984644,"10162/9709/4189/1051/5366/468/8795/116496/26471/27113/1491/467/1649/57761/83667/79094",16
"GO:0071496","GO:0071496","cellular response to external stimulus","18/306","327/18614",8.55935738264669e-06,0.00441110575617198,0.00404954843984644,"8792/8644/978/1535/1647/355/6720/8915/5366/468/8795/8140/467/27063/440/1026/83667/5251",18
"GO:0042594","GO:0042594","response to starvation","14/306","207/18614",8.85256315745522e-06,0.00441110575617198,0.00404954843984644,"8792/6752/8644/355/6720/5366/468/5106/8140/467/440/1649/1026/83667",14
"GO:0031667","GO:0031667","response to nutrient levels","22/306","477/18614",1.45347699809492e-05,0.00633715971169386,0.00581773293184836,"8792/5122/1545/6752/8644/9682/1535/5723/355/6720/8915/5366/468/5106/8140/467/440/1649/1026/83667/5251/9518",22
"GO:1990440","GO:1990440","positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress","4/306","11/18614",2.15758534323838e-05,0.0074152557262679,0.00680746255411243,"1051/468/467/1649",4
"GO:0070555","GO:0070555","response to interleukin-1","11/306","141/18614",2.18883726697144e-05,0.0074152557262679,0.00680746255411243,"8792/5122/6347/5740/3554/1535/1051/10365/9252/5600/27063",11
