"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006270","GO:0006270","DNA replication initiation",14,-0.833152173913044,-2.41034558426765,0.00219298245614035,0.173625083836351,0.166437219810089,322,"tags=100%, list=17%, signal=83%","CDC45/CDC6/MCM7/MCM4/ORC1/MCM6/PRIM1/MCM5/MCM10/MCM2/MCM3/CCNE2/CCNE1"
"GO:0006261","GO:0006261","DNA-templated DNA replication",30,-0.655486754448662,-2.31464320931864,0.00229357798165138,0.173625083836351,0.166437219810089,276,"tags=73%, list=15%, signal=63%","GMNN/DONSON/RFC2/CDC45/SLFN11/EME2/CDC6/MCM7/MCM4/TONSL/ORC1/FEN1/MCM6/PRIM1/MCM5/MCM10/POLE2/MCM2/GINS2/MCM3/CCNE2/CCNE1"
"GO:0070059","GO:0070059","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress",18,0.730678015158208,2.19614750624604,0.00184162062615101,0.173625083836351,0.166437219810089,422,"tags=83%, list=23%, signal=65%","CHAC1/TRIB3/DDIT3/BBC3/TNFRSF10B/ATF4/PMAIP1/CEBPB/HERPUD1/MAP3K5/BAX/XBP1/ERP29/PPP1R15A/BCL2L1"
"GO:0097530","GO:0097530","granulocyte migration",11,-0.803807082483321,-2.15390598053017,0.00216450216450216,0.173625083836351,0.166437219810089,131,"tags=45%, list=7%, signal=42%","IL1R1/PREX1/CCL2/CXCL6/ITGA9"
"GO:1990266","GO:1990266","neutrophil migration",10,-0.833243266594333,-2.15346389659331,0.00218818380743982,0.173625083836351,0.166437219810089,131,"tags=50%, list=7%, signal=47%","IL1R1/PREX1/CCL2/CXCL6/ITGA9"
"GO:0006260","GO:0006260","DNA replication",49,-0.537879127615618,-2.15193985469656,0.00228310502283105,0.173625083836351,0.166437219810089,276,"tags=49%, list=15%, signal=43%","DONSON/RFC2/CDC45/SLFN11/EME2/CDC6/MCM7/MCM4/TONSL/NASP/ORC1/FEN1/MCM6/PRIM1/MCM5/CHAF1B/MCM10/POLE2/MCM2/GINS2/FAM111B/MCM3/CCNE2/CCNE1"
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress",51,0.566161538206796,2.13570295022301,0.00175438596491228,0.173625083836351,0.166437219810089,251,"tags=35%, list=14%, signal=31%","CHAC1/SESN2/TRIB3/DDIT3/ATF3/CTH/BBC3/NUPR1/NIBAN1/TNFRSF10B/ATF4/PMAIP1/CEBPB/DNAJB9/HERPUD1/MAP3K5/STC2/BAX"
"GO:0000724","GO:0000724","double-strand break repair via homologous recombination",22,-0.645390707621364,-2.12840249309494,0.00227272727272727,0.173625083836351,0.166437219810089,273,"tags=55%, list=15%, signal=47%","CDC45/MCM7/MCM4/TONSL/FEN1/MCM6/MCM5/MCM2/GINS2/MCM3/SWSAP1/DMC1"
"GO:0000725","GO:0000725","recombinational repair",23,-0.639408655450423,-2.11979661240946,0.00223214285714286,0.173625083836351,0.166437219810089,273,"tags=52%, list=15%, signal=45%","CDC45/MCM7/MCM4/TONSL/FEN1/MCM6/MCM5/MCM2/GINS2/MCM3/SWSAP1/DMC1"
"GO:0036003","GO:0036003","positive regulation of transcription from RNA polymerase II promoter in response to stress",10,0.796817974269873,2.02035644513689,0.0018348623853211,0.173625083836351,0.166437219810089,143,"tags=60%, list=8%, signal=56%","DDIT3/ATF3/VEGFA/ATF4/KLF2/CEBPB"
"GO:0006302","GO:0006302","double-strand break repair",34,-0.546613934636276,-1.9892411594429,0.00234741784037559,0.173625083836351,0.166437219810089,485,"tags=59%, list=26%, signal=44%","PARP1/RPA2/NUDT16L1/WRAP53/TOP3A/MSH2/HMCES/CDC45/EME2/MCM7/MCM4/TONSL/FEN1/MCM6/MCM5/MCM2/GINS2/MCM3/SWSAP1/DMC1"
"GO:0097190","GO:0097190","apoptotic signaling pathway",109,0.45214420785767,1.98882732168054,0.00167785234899329,0.173625083836351,0.166437219810089,422,"tags=43%, list=23%, signal=35%","CHAC1/TNFRSF10C/DDIT4/SFN/TRIB3/CDKN1A/DDIT3/ATF3/MKNK2/MDM2/CTH/BBC3/ZNF385A/NUPR1/PLEKHF1/TNFRSF10B/ATF4/PMAIP1/ARHGEF2/CEBPB/PHLDA3/HERPUD1/BCL10/FAS/MAP3K5/EDA2R/SGPP1/RRM2B/BAX/UNC5B/AR/JMY/XBP1/BLOC1S2/RNF41/CASP9/ERP29/SERPINE1/GSDME/SGPL1/PPP1R15A/BNIP3/PAWR/RPS27L/NKX3-1/AEN/BCL2L1"
